r,m,P
2649570.0,7.430544316985998e+29,9.910567380369255e+27
2659570.0,7.514766019108074e+29,9.90989422859281e+27
2669570.0,7.599619133238926e+29,9.90921859607172e+27
2679570.0,7.685105968624687e+29,9.90854048342194e+27
2689570.0,7.771228833787512e+29,9.907859891261635e+27
2699570.0,7.857990036522982e+29,9.90717682021118e+27
2709570.0,7.94539188389751e+29,9.906491270893158e+27
2719570.0,8.033436682245757e+29,9.905803243932368e+27
2729570.0,8.122126737168037e+29,9.905112739955813e+27
2739570.0,8.211464353527726e+29,9.904419759592702e+27
2749570.0,8.301451835448681e+29,9.90372430347445e+27
2759570.0,8.39209148631265e+29,9.903026372234676e+27
2769570.0,8.483385608756691e+29,9.902325966509205e+27
2779570.0,8.575336504670583e+29,9.901623086936063e+27
2789570.0,8.667946475194249e+29,9.900917734155477e+27
2799570.0,8.761217820715177e+29,9.900209908809874e+27
2809570.0,8.855152840865836e+29,9.899499611543878e+27
2819570.0,8.949753834521101e+29,9.898786843004314e+27
2829570.0,9.045023099795676e+29,9.898071603840201e+27
2839570.0,9.140962934041519e+29,9.897353894702755e+27
2849570.0,9.237575633845269e+29,9.896633716245386e+27
2859570.0,9.334863495025674e+29,9.895911069123698e+27
2869570.0,9.43282881263102e+29,9.895185953995484e+27
2879570.0,9.531473880936556e+29,9.894458371520729e+27
2889570.0,9.630800993441938e+29,9.893728322361611e+27
2899570.0,9.73081244286865e+29,9.892995807182491e+27
2909570.0,9.831510521157446e+29,9.89226082664992e+27
2919570.0,9.932897519465782e+29,9.891523381432636e+27
2929570.0,1.003497572816526e+30,9.89078347220156e+27
2939570.0,1.0137747436839056e+30,9.890041099629796e+27
2949570.0,1.024121493427937e+30,9.889296264392635e+27
2959570.0,1.0345380508484866e+30,9.888548967167544e+27
2969570.0,1.0450246446658111e+30,9.887799208634173e+27
2979570.0,1.0555815035203023e+30,9.88704698947435e+27
2989570.0,1.0662088559722315e+30,9.88629231037208e+27
2999570.0,1.0769069305014947e+30,9.885535172013546e+27
3009570.0,1.0876759555073569e+30,9.884775575087105e+27
3019570.0,1.0985161593081975e+30,9.884013520283288e+27
3029570.0,1.1094277701412553e+30,9.8832490082948e+27
3039570.0,1.120411016162374e+30,9.882482039816516e+27
3049570.0,1.1314661254457475e+30,9.881712615545483e+27
3059570.0,1.1425933259836657e+30,9.880940736180916e+27
3069570.0,1.1537928456862603e+30,9.880166402424198e+27
3079570.0,1.1650649123812503e+30,9.879389614978877e+27
3089570.0,1.1764097538136885e+30,9.878610374550669e+27
3099570.0,1.1878275976457077e+30,9.877828681847455e+27
3109570.0,1.1993186714562667e+30,9.877044537579274e+27
3119570.0,1.2108832027408971e+30,9.876257942458331e+27
3129570.0,1.22252141891145e+30,9.87546889719899e+27
3139570.0,1.2342335472958427e+30,9.874677402517773e+27
3149570.0,1.2460198151378056e+30,9.873883459133362e+27
3159570.0,1.2578804495966293e+30,9.873087067766593e+27
3169570.0,1.2698156777469122e+30,9.872288229140458e+27
3179570.0,1.2818257265783073e+30,9.871486943980105e+27
3189570.0,1.2939108229952704e+30,9.870683213012831e+27
3199570.0,1.3060711938168077e+30,9.869877036968088e+27
3209570.0,1.318307065776223e+30,9.869068416577476e+27
3219570.0,1.3306186655208665e+30,9.868257352574746e+27
3229570.0,1.343006219611883e+30,9.867443845695793e+27
3239570.0,1.3554699545239593e+30,9.86662789667866e+27
3249570.0,1.368010096645074e+30,9.865809506263536e+27
3259570.0,1.3806268722762454e+30,9.864988675192753e+27
3269570.0,1.39332050763128e+30,9.864165404210783e+27
3279570.0,1.406091228836522e+30,9.863339694064242e+27
3289570.0,1.4189392619306024e+30,9.862511545501884e+27
3299570.0,1.431864832864188e+30,9.861680959274603e+27
3309570.0,1.444868167499731e+30,9.860847936135427e+27
3319570.0,1.4579494916112187e+30,9.860012476839522e+27
